308 63 3
X = 308   Y = 63   Ms:1676736764153
X = 37   Y = 7   Ms:327
X = 23   Y = 4   Ms:2
X = 49   Y = 6   Ms:4
X = 53   Y = 4   Ms:4
X = 59   Y = 2   Ms:4
X = 70   Y = 2   Ms:2
X = 76   Y = 1   Ms:4
X = 83   Y = 0   Ms:4
X = 84   Y = 0   Ms:4
X = 85   Y = 0   Ms:4
X = 88   Y = 0   Ms:4
X = 87   Y = 0   Ms:4
X = 90   Y = 3   Ms:4
X = 84   Y = 6   Ms:4
X = 78   Y = 7   Ms:4
X = 75   Y = 9   Ms:4
X = 69   Y = 9   Ms:4
X = 60   Y = 8   Ms:4
X = 54   Y = 8   Ms:4
X = 45   Y = 7   Ms:4
X = 39   Y = 6   Ms:4
X = 30   Y = 4   Ms:4
X = 21   Y = 3   Ms:4
X = 15   Y = 1   Ms:4
X = 7   Y = 2   Ms:2
X = 0   Y = 0   Ms:411
X = 0   Y = 0   Ms:139
X = 2   Y = 1   Ms:170
X = 13   Y = 1   Ms:4
X = 25   Y = 3   Ms:4
X = 35   Y = 1   Ms:4
X = 47   Y = 1   Ms:4
X = 56   Y = 0   Ms:4
X = 66   Y = 0   Ms:4
X = 79   Y = 0   Ms:4
X = 86   Y = 0   Ms:4
X = 98   Y = 0   Ms:4
X = 101   Y = 0   Ms:4
X = 103   Y = 0   Ms:4
X = 108   Y = 0   Ms:4
X = 107   Y = 1   Ms:4
X = 112   Y = 0   Ms:4
X = 107   Y = 0   Ms:4
X = 106   Y = 0   Ms:4
X = 104   Y = 0   Ms:4
X = 94   Y = 0   Ms:2
X = 83   Y = 0   Ms:4
X = 76   Y = 0   Ms:4
X = 63   Y = 2   Ms:4
X = 53   Y = 5   Ms:4
X = 41   Y = 3   Ms:4
X = 4   Y = 0   Ms:4
X = 0   Y = 0   Ms:412
X = 0   Y = 0   Ms:126
X = 4   Y = 0   Ms:190
X = 21   Y = 1   Ms:4
X = 35   Y = 3   Ms:4
X = 46   Y = 6   Ms:4
X = 55   Y = 4   Ms:4
X = 63   Y = 6   Ms:4
X = 71   Y = 3   Ms:4
X = 77   Y = 1   Ms:4
X = 82   Y = 1   Ms:4
X = 83   Y = 0   Ms:4
X = 82   Y = 0   Ms:2
X = 83   Y = 0   Ms:4
X = 76   Y = 1   Ms:4
X = 68   Y = 4   Ms:4
X = 59   Y = 6   Ms:4
X = 53   Y = 7   Ms:4
X = 47   Y = 6   Ms:4
X = 37   Y = 1   Ms:4
X = 30   Y = 0   Ms:4
X = 23   Y = 0   Ms:4
X = 15   Y = 0   Ms:4
X = 9   Y = 0   Ms:4
X = 0   Y = 0   Ms:366
X = 0   Y = 0   Ms:117
X = 3   Y = 0   Ms:179
X = 1   Y = 0   Ms:4
X = 6   Y = 0   Ms:4
X = 9   Y = 0   Ms:4
X = 16   Y = 0   Ms:4
X = 21   Y = 0   Ms:4
X = 26   Y = 1   Ms:4
X = 30   Y = 4   Ms:4
X = 35   Y = 4   Ms:4
X = 39   Y = 6   Ms:2
X = 46   Y = 6   Ms:4
X = 48   Y = 7   Ms:4
X = 52   Y = 10   Ms:4
X = 52   Y = 11   Ms:4
X = 51   Y = 11   Ms:4
X = 53   Y = 13   Ms:4
X = 52   Y = 12   Ms:4
X = 49   Y = 11   Ms:4
X = 49   Y = 13   Ms:4
X = 44   Y = 13   Ms:4
X = 40   Y = 12   Ms:4
X = 36   Y = 11   Ms:4
X = 32   Y = 11   Ms:4
X = 28   Y = 9   Ms:4
X = 24   Y = 7   Ms:4
X = 20   Y = 6   Ms:4
X = 14   Y = 5   Ms:4
X = 10   Y = 4   Ms:4
X = 5   Y = 2   Ms:2
X = 4   Y = 1   Ms:4
X = 0   Y = 0   Ms:537
X = 0   Y = 0   Ms:113
X = 2   Y = 1   Ms:292
X = 22   Y = 0   Ms:2
X = 42   Y = 0   Ms:4
X = 47   Y = 0   Ms:4
X = 58   Y = 3   Ms:4
X = 67   Y = 6   Ms:4
X = 74   Y = 7   Ms:2
X = 82   Y = 14   Ms:4
X = 84   Y = 17   Ms:4
X = 88   Y = 20   Ms:5
X = 87   Y = 20   Ms:3
X = 88   Y = 21   Ms:4
X = 91   Y = 21   Ms:4
X = 88   Y = 21   Ms:4
X = 88   Y = 22   Ms:4
X = 81   Y = 19   Ms:4
X = 72   Y = 0   Ms:4
X = 68   Y = 0   Ms:4
X = 59   Y = 0   Ms:4
X = 51   Y = 0   Ms:4
X = 41   Y = 0   Ms:4
X = 30   Y = 0   Ms:4
X = 20   Y = 0   Ms:4
X = 11   Y = 0   Ms:4
X = 5   Y = 0   Ms:18
X = 2   Y = 0   Ms:4
X = 0   Y = 0   Ms:357
X = 0   Y = 0   Ms:102
